,id disease,id symptom,rate
0,4,11,
1,5,11,
2,5,49,
3,5,54,
4,5,35,
5,6,56,30%-79%
6,6,37,5%-29%
7,6,28,
8,7,4,80%-99%
9,7,5,80%-99%
10,7,6,5%-29%
11,7,11,
12,7,13,
13,8,118,30%-79%
14,8,11,
15,8,4,
16,8,129,
17,8,29,
18,10,90,5%-29%
19,10,115,
20,10,55,
21,10,128,
22,11,167,80%-99%
23,11,100,5%-29%
24,11,94,5%-29%
25,11,11,
26,12,103,80%-99%
27,12,214,80%-99%
28,12,28,80%-99%
29,12,236,30%-79%
30,12,102,30%-79%
31,12,80,30%-79%
32,12,269,30%-79%
33,12,114,5%-29%
34,12,100,5%-29%
35,12,259,5%-29%
36,12,232,5%-29%
37,12,244,5%-29%
38,12,54,1%-4%
39,12,243,1%-4%
40,12,104,
41,13,286,80%-99%
42,13,287,80%-99%
43,13,44,80%-99%
44,13,95,80%-99%
45,13,83,30%-79%
46,13,297,30%-79%
47,13,87,30%-79%
48,13,308,5%-29%
49,13,153,5%-29%
50,13,273,5%-29%
51,13,275,5%-29%
52,13,269,5%-29%
53,13,115,
54,13,310,
55,13,294,
56,13,315,
57,13,228,
58,13,229,
59,13,320,
60,14,366,30%-79%
61,14,261,5%-29%
62,14,263,5%-29%
63,14,232,5%-29%
64,14,28,5%-29%
65,14,113,5%-29%
66,14,178,1%-4%
67,14,259,1%-4%
68,14,273,1%-4%
69,14,265,1%-4%
70,14,37,1%-4%
71,14,229,1%-4%
72,14,93,1%-4%
73,14,80,1%-4%
74,14,302,1%-4%
75,14,158,1%-4%
76,14,269,1%-4%
77,15,272,80%-99%
78,15,100,80%-99%
79,15,321,80%-99%
80,15,302,5%-29%
81,15,115,
82,15,80,
83,15,113,
84,17,160,1%-4%
85,17,115,
86,17,108,
87,19,11,
88,19,53,
89,19,163,
90,19,57,
91,19,60,
92,21,115,
93,21,11,
94,21,19,
95,22,115,
96,24,236,80%-99%
97,24,63,30%-79%
98,24,101,30%-79%
99,24,9,30%-79%
100,24,234,5%-29%
101,24,380,5%-29%
102,24,18,5%-29%
103,24,281,5%-29%
104,24,104,5%-29%
105,24,108,5%-29%
106,24,298,5%-29%
107,24,80,5%-29%
108,24,321,5%-29%
109,24,413,5%-29%
110,24,112,5%-29%
111,24,113,5%-29%
112,24,348,
113,24,11,
114,24,267,
115,25,115,
116,26,26,1%-4%
117,26,44,1%-4%
118,26,11,
119,29,103,80%-99%
120,29,56,80%-99%
121,29,409,80%-99%
122,29,289,80%-99%
123,29,213,80%-99%
124,29,299,80%-99%
125,29,28,80%-99%
126,29,411,80%-99%
127,29,29,80%-99%
128,29,350,30%-79%
129,29,261,30%-79%
130,29,163,30%-79%
131,29,229,30%-79%
132,29,363,30%-79%
133,29,267,30%-79%
134,29,80,30%-79%
135,29,321,30%-79%
136,29,232,30%-79%
137,29,302,30%-79%
138,29,474,5%-29%
139,29,449,5%-29%
140,29,291,5%-29%
141,29,100,5%-29%
142,29,417,5%-29%
143,29,101,5%-29%
144,29,351,5%-29%
145,29,353,5%-29%
146,29,67,5%-29%
147,29,273,5%-29%
148,29,184,5%-29%
149,29,286,5%-29%
150,29,73,5%-29%
151,29,288,5%-29%
152,29,400,5%-29%
153,29,37,5%-29%
154,29,57,5%-29%
155,29,298,5%-29%
156,29,43,5%-29%
157,29,392,5%-29%
158,29,413,5%-29%
159,29,277,5%-29%
160,29,11,
161,29,490,
162,29,265,
163,29,341,
164,32,151,30%-79%
165,32,429,30%-79%
166,32,161,30%-79%
167,32,104,30%-79%
168,32,139,30%-79%
169,32,571,30%-79%
170,32,49,5%-29%
171,32,53,5%-29%
172,32,432,5%-29%
173,32,13,5%-29%
174,32,4,5%-29%
175,32,585,5%-29%
176,32,543,5%-29%
177,32,41,5%-29%
178,32,413,5%-29%
179,32,487,1%-4%
180,32,6,1%-4%
181,32,293,1%-4%
182,32,80,1%-4%
183,32,33,
184,32,11,
185,32,169,
186,33,88,80%-99%
187,33,89,80%-99%
188,33,352,80%-99%
189,33,93,80%-99%
190,33,87,80%-99%
191,33,368,80%-99%
192,33,278,30%-79%
193,33,272,30%-79%
194,33,153,30%-79%
195,33,144,30%-79%
196,33,330,30%-79%
197,33,54,30%-79%
198,33,240,30%-79%
199,33,296,30%-79%
200,33,334,30%-79%
201,33,363,30%-79%
202,33,367,30%-79%
203,33,277,30%-79%
204,33,29,30%-79%
205,33,127,5%-29%
206,33,84,5%-29%
207,33,397,5%-29%
208,33,116,5%-29%
209,33,413,5%-29%
210,33,115,
211,33,273,
212,34,328,30%-79%
213,34,280,5%-29%
214,34,115,
215,36,476,80%-99%
216,36,338,30%-79%
217,36,1,5%-29%
218,36,577,5%-29%
219,36,43,5%-29%
220,36,347,
221,36,115,
222,37,115,
223,37,524,
224,39,100,80%-99%
225,39,536,80%-99%
226,39,362,80%-99%
227,39,341,80%-99%
228,39,36,30%-79%
229,39,44,30%-79%
230,39,28,30%-79%
231,39,380,5%-29%
232,39,308,5%-29%
233,39,85,5%-29%
234,39,236,5%-29%
235,39,354,5%-29%
236,39,259,5%-29%
237,39,570,5%-29%
238,39,650,5%-29%
239,39,643,
240,39,263,
241,39,94,
242,40,11,
243,41,83,
244,41,90,
245,41,280,
246,41,352,
247,41,397,
