,subj,pred,obj
0,Emphysema,same,XXXYY syndrome
1,Hepatic failure,same,XXXY syndrome
2,Hepatitis,same,X-linked non-syndromic intellectual disability
3,Hepatomegaly,same,XP; Xeroderma pigmentosa
4,Jaundice,same,
5,Cirrhosis,same,
6,Nephrotic syndrome,same,
7,Chronic bronchitis,same,Winchester disease; Winchester-Grossman Syndrome
8,Dyspnea,same,Winchester disease; Winchester-Grossman Syndrome
9,Wheezing,same,
10,Autosomal recessive inheritance,same,WRN; Werner's syndrome
11,Chronic pulmonary obstruction,same,WRN; Werner's syndrome
12,Elevated hepatic transaminase,same,"Warts, Hypogammaglobulinemia, Infections, and Myelokathexis; WHIMS"
13,Hepatocellular carcinoma,same,Warburg Thomsen syndrome; Yemenite (Warburg) deaf-blind hypopigmentation syndrome
14,Panacinar emphysema,same,
15,Alopecia totalis,same,VHL syndrome; VHL; Von Hippel-Lindau disease;
16,Alopecia universalis,same,X-linked VACTERL-H syndrome
17,Autoimmunity,same,VATER association
18,Multifactorial inheritance,same,
19,Nail pits,same,
20,Patchy alopecia,same,Xanthine dehydrogenase deficiency; XDH deficiency; Xanthine oxidase deficiency;
21,Trachyonychia,same,
22,Achalasia,same,TINU; TINU syndrome
23,Adrenal insufficiency,same,TINU; TINU syndrome
24,Generalized hyperpigmentation,same,TINU; TINU syndrome
25,Seizure,same,
26,Palmoplantar keratoderma,same,
27,Short stature,same,Telangiectasia - Erythrocytosis - Monoclonal gammopathy - Perinephric-fluid collections - Intrapulmonary shunting
28,Visual impairment,same,TCC
29,Abnormality of the calf musculature,same,
30,Abnormality of the hypothenar eminence,same,
31,Anterior hypopituitarism,same,
32,Ataxia,same,
33,Developmental regression,same,
34,Hyperreflexia,same,
35,Iris coloboma,same,Synovial cell sarcoma; Synovialosarcoma
36,Microcephaly,same,"Syndrome of unilobed or absent thymus, renal and ureter agenesis/dysgenesis, and intrauterine growth retardation (IUGR)"
37,Motor axonal neuropathy,same,Syndactyly with associated metacarpal and metatarsal fusion
38,Muscular hypotonia,same,"Ventricular extrasystoles with syncope, perodactyly, and Robin sequence; Stoll-Kieny-Dott syndrome; Ventricular extrasystoles perodactyly Robin sequence"
39,Optic atrophy,same,
40,Pes cavus,same,
41,Plantar hyperkeratosis,same,Spondyloperipheral dysplasia with short ulna
42,Respiratory insufficiency,same,Spondyloperipheral dysplasia with short ulna
43,Sensorineural hearing impairment,same,Spondyloperipheral dysplasia with short ulna
44,Abnormal autonomic nervous system physiology,same,Spondyloperipheral dysplasia with short ulna
45,Abnormality of visual evoked potentials,same,Spondyloperipheral dysplasia with short ulna
46,Adrenocorticotropin receptor defect,same,Spondylometaphyseal dysplasia Sutcliffe type; Sutcliffe type of spondylometaphyseal dysplasia; Sutcliffe SMD
47,Anisocoria,same,Spondylometaphyseal dysplasia A4 type
48,Babinski sign,same,Spondylometaphyseal dysplasia A4 type
49,Childhood onset,same,Spondylometaphyseal dysplasia A4 type
50,Decreased circulating aldosterone level,same,Spondylometaphyseal dysplasia A4 type
51,Decreased circulating cortisol level,same,Spondylometaphyseal dysplasia A4 type
52,Dysarthria,same,Spondyloepimetaphyseal dysplasia with multiple dislocations leptodactylic type; Spondyloepimetaphyseal dysplasia with multiple dislocations Hall type
53,Global developmental delay,same,Spondyloepimetaphyseal dysplasia with multiple dislocations leptodactylic type; Spondyloepimetaphyseal dysplasia with multiple dislocations Hall type
54,Hyperpigmentation of the skin,same,Spondyloepimetaphyseal dysplasia with multiple dislocations leptodactylic type; Spondyloepimetaphyseal dysplasia with multiple dislocations Hall type
55,Intellectual disability,same,Spondyloepimetaphyseal dysplasia with multiple dislocations leptodactylic type; Spondyloepimetaphyseal dysplasia with multiple dislocations Hall type
56,Muscle weakness,same,Spondyloepimetaphyseal dysplasia with multiple dislocations leptodactylic type; Spondyloepimetaphyseal dysplasia with multiple dislocations Hall type
57,Orthostatic hypotension,same,Spondyloepimetaphyseal dysplasia with multiple dislocations leptodactylic type; Spondyloepimetaphyseal dysplasia with multiple dislocations Hall type
58,Palmoplantar hyperkeratosis,same,Whyte syndrome; Whyte Petersen McAlister syndrome
59,Progressive,same,Whyte syndrome; Whyte Petersen McAlister syndrome
60,Abnormality of the face,same,Whyte syndrome; Whyte Petersen McAlister syndrome
61,Choreoathetosis,same,Synpolydactyly; SPD
62,Constipation,same,SPG25; Spinal disc herniation with autosomal recessive spastic paraplegia
63,Decreased CSF homovanillic acid,same,SPG25; Spinal disc herniation with autosomal recessive spastic paraplegia
64,Diarrhea,same,SPG19
65,Emotional lability,same,SPG16
66,Feeding difficulties in infancy,same,SPG12
67,Gastroesophageal reflux,same,"Vitreoretinal degeneration, Snowflake type; SVD; Snowflake degeneration in hereditary vitreoretinal degeneration"
68,Hyperhidrosis,same,Smith-McCort dwarfism
69,Hypotension,same,Smith-McCort dwarfism
70,Infantile onset,same,SMED-SL; SMED short limb-hand type; SMED type 2;
71,Intermittent hypothermia,same,SMED-SL; SMED short limb-hand type; SMED type 2;
72,Irritability,same,SMED-SL; SMED short limb-hand type; SMED type 2;
73,Limb dystonia,same,SMA1 with congenital bone fractures
74,Limb hypertonia,same,SIDDT ; Sudden infant death - dysgenesis of the testes; Sudden infant death-dysgenesis of the testes syndrome
75,Miosis,same,SIDDT ; Sudden infant death - dysgenesis of the testes; Sudden infant death-dysgenesis of the testes syndrome
76,Muscular hypotonia of the trunk,same,SIDDT ; Sudden infant death - dysgenesis of the testes; Sudden infant death-dysgenesis of the testes syndrome
77,Myoclonus,same,Stratton Parker syndrome
78,Nasal obstruction,same,"Spondylar and nasal alterations with striated metaphyses; Sponastrime dysplasia; Short limb dwarfism with saddle nose, spinal alterations, and metaphyseal striation"
79,Ptosis,same,
80,Sleep disturbance,same,
81,Temperature instability,same,
82,Alopecia,same,Splenogonadal fusion limb defects syndrome; SGFLD syndrome
83,Atresia of the external auditory canal,same,SFMS
84,Conductive hearing impairment,same,SFMS
85,Hypogonadism,same,SFMS
86,Sparse hair,same,Sezary's lymphoma; Sézary syndrome
87,Absent eyebrow,same,TMBTS; Severe intellectual disability-aplasia/hypoplasia of thumb and hallux syndrome
88,Absent eyelashes,same,TMBTS; Severe intellectual disability-aplasia/hypoplasia of thumb and hallux syndrome
89,Carious teeth,same,TMBTS; Severe intellectual disability-aplasia/hypoplasia of thumb and hallux syndrome
90,Facial asymmetry,same,TMBTS; Severe intellectual disability-aplasia/hypoplasia of thumb and hallux syndrome
91,Facial palsy,same,TMBTS; Severe intellectual disability-aplasia/hypoplasia of thumb and hallux syndrome
92,Microtia,same,TMBTS; Severe intellectual disability-aplasia/hypoplasia of thumb and hallux syndrome
93,Protruding ear,same,Zeta-associated-protein 70 deficiency; Severe combined immunodeficiency due to ZAP70 deficiency
94,Severe short stature,same,SEMDJL; Spondyloepimetaphyseal dysplasia with joint laxity
95,Anosmia,same,"SEMD, Aggrecan type"
