,id,name symptom,other name,link,acronym,,,,,
0,1,Emphysema,AAT deficiency, A1AT deficiency, AATD,,https://hpo.jax.org/app/browse/term/HP:0002097,,,
1,2,Hepatic failure,AAT deficiency, A1AT deficiency, AATD,,https://hpo.jax.org/app/browse/term/HP:0001399,,,
2,3,Hepatitis,AAT deficiency, A1AT deficiency, AATD,,https://hpo.jax.org/app/browse/term/HP:0012115,,,
3,4,Hepatomegaly,AAT deficiency, A1AT deficiency, AATD,,https://hpo.jax.org/app/browse/term/HP:0002240,,,
4,5,Jaundice,AAT deficiency, A1AT deficiency, AATD,,https://hpo.jax.org/app/browse/term/HP:0000952,,,
5,6,Cirrhosis,AAT deficiency, A1AT deficiency, AATD,,https://hpo.jax.org/app/browse/term/HP:0001394,,,
6,7,Nephrotic syndrome,AAT deficiency, A1AT deficiency, AATD,,https://hpo.jax.org/app/browse/term/HP:0000100,,,
7,8,Chronic bronchitis,AAT deficiency, A1AT deficiency, AATD,,https://hpo.jax.org/app/browse/term/HP:0004469,,,
8,9,Dyspnea,AAT deficiency, A1AT deficiency, AATD,,https://hpo.jax.org/app/browse/term/HP:0002094,,,
9,10,Wheezing,AAT deficiency, A1AT deficiency, AATD,,https://hpo.jax.org/app/browse/term/HP:0030828,,,
10,11,Autosomal recessive inheritance,AAT deficiency, A1AT deficiency, AATD,,https://hpo.jax.org/app/browse/term/HP:0000007,,,
11,12,Chronic pulmonary obstruction,AAT deficiency, A1AT deficiency, AATD,,https://hpo.jax.org/app/browse/term/HP:0006510,,,
12,13,Elevated hepatic transaminase,AAT deficiency, A1AT deficiency, AATD,,https://hpo.jax.org/app/browse/term/HP:0002910,,,
13,14,Hepatocellular carcinoma,AAT deficiency, A1AT deficiency, AATD,,https://hpo.jax.org/app/browse/term/HP:0001402,,,
14,15,Panacinar emphysema,AAT deficiency, A1AT deficiency, AATD,,https://hpo.jax.org/app/browse/term/HP:0032967,,,
15,16,Alopecia totalis,AA, Diffuse alopecia, Patchy alopecia,,https://hpo.jax.org/app/browse/term/HP:0007418,,,
16,17,Alopecia universalis,AA, Diffuse alopecia, Patchy alopecia,,https://hpo.jax.org/app/browse/term/HP:0002289,,,
17,18,Autoimmunity,AA, Diffuse alopecia, Patchy alopecia,,https://hpo.jax.org/app/browse/term/HP:0002960,,,
18,19,Multifactorial inheritance,AA, Diffuse alopecia, Patchy alopecia,,https://hpo.jax.org/app/browse/term/HP:0001426,,,
19,20,Nail pits,AA, Diffuse alopecia, Patchy alopecia,,https://hpo.jax.org/app/browse/term/HP:0001803,,,
20,21,Patchy alopecia,AA, Diffuse alopecia, Patchy alopecia,,https://hpo.jax.org/app/browse/term/HP:0002232,,,
21,22,Trachyonychia,AA, Diffuse alopecia, Patchy alopecia,,https://hpo.jax.org/app/browse/term/HP:0030804,,,
22,23,Achalasia,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0002571,,,
23,24,Adrenal insufficiency,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0000846,,,
24,25,Generalized hyperpigmentation,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0007440,,,
25,26,Seizure,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0001250,,,
26,27,Palmoplantar keratoderma,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0000982,,,
27,28,Short stature,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0004322,,,
28,29,Visual impairment,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0000505,,,
29,30,Abnormality of the calf musculature,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0001430,,,
30,31,Abnormality of the hypothenar eminence,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0010486,,,
31,32,Anterior hypopituitarism,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0000830,,,
32,33,Ataxia,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0001251,,,
33,34,Developmental regression,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0002376,,,
34,35,Hyperreflexia,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0001347,,,
35,36,Iris coloboma,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0000612,,,
36,37,Microcephaly,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0000252,,,
37,38,Motor axonal neuropathy,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0007002,,,
38,39,Muscular hypotonia,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0001252,,,
39,40,Optic atrophy,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0000648,,,
40,41,Pes cavus,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0001761,,,
41,42,Plantar hyperkeratosis,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0007556,,,
42,43,Respiratory insufficiency,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0002093,,,
